Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Mandarina,M_Arrayana,SxE,29,2,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,29,3,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,29,4,Verdadero,1,1,1,NA
Mandarina,M_Arrayana,SxE,29,5,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,29,6,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,30,1,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,30,2,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,30,3,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,30,4,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,30,5,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,30,6,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,31,1,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,31,2,FALSO,NA,NA,NA,NA
Mandarina,Fairchild,SxE,31,3,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,31,4,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,31,5,VERDADERO,0,NA,0,NA
Mandarina,Fairchild,SxE,31,6,FALSO,NA,NA,NA,NA
Naranja,V_Washington,SxE,32,1,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,32,2,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,32,3,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,32,4,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,32,5,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,32,6,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,33,1,Verdadero,1,1,1,NA
Naranja,Sweety_O,SxE,33,2,Verdadero,1,1,1,NA
Naranja,Sweety_O,SxE,33,3,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,33,4,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,33,5,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,33,6,Verdadero,1,1,1,NA
Naranja,PeraDelRio,SxE,34,1,Verdadero,1,1,1,NA
Naranja,PeraDelRio,SxE,34,2,Verdadero,1,1,1,NA
Naranja,PeraDelRio,SxE,34,3,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,34,4,Verdadero,1,0,0,NA
Naranja,PeraDelRio,SxE,34,5,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,34,6,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,35,1,Verdadero,1,1,1,NA
Naranja,Pinneapple,SxE,35,2,Verdadero,1,2,1,NA
Naranja,Pinneapple,SxE,35,3,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,35,4,Verdadero,1,2,1,NA
Naranja,Pinneapple,SxE,35,5,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,35,6,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,36,1,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,36,2,Verdadero,1,1,1,NA
Naranja,ParsonB,SxE,36,3,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,36,4,Verdadero,1,1,1,NA
Naranja,ParsonB,SxE,36,5,Verdadero,0,NA,0,Hojas pequeñas
Naranja,ParsonB,SxE,36,6,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,37,1,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,37,2,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,37,3,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,37,4,Verdadero,1,0,0,NA
Naranja,FrostVal,SxE,37,5,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,37,6,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,38,1,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,38,2,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,38,3,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,38,4,Verdadero,1,0,0,NA
Naranja,Lannelate,SxE,38,5,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,38,6,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,39,1,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,39,2,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,39,3,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,39,4,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,39,5,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,39,6,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,40,1,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,40,2,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,40,3,Verdadero,1,1,1,NA
Naranja,GarciaVal,SxE,40,4,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,40,5,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,40,6,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,41,1,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,41,2,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,41,3,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,41,4,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,41,5,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,41,6,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,42,1,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,42,2,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,42,3,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,42,4,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,42,5,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,42,6,Verdadero,0,NA,0,NA
